viewCount	likeCount	commentCount	cluster
49311	8883	187	0
54824	6774	54	0
11962	2483	82	0
63775	9549	131	2
7702	1466	150	0
2085	394	20	0
16381	3509	30	0
32635	4835	33	0
63815	10947	124	2
5714	1396	63	0
41394	6262	160	0
65175	6834	42	0
6154	1191	86	0
52343	8994	132	0
3122	620	55	0
6195	1365	89	0
18467	3591	61	0
130871	18025	192	2
3514	870	65	0
103149	14801	117	2
52297	7998	285	0
55922	8866	83	0
93304	14738	186	2
7836	2118	213	0
30897	5990	78	0
130772	16539	116	2
5553	1235	84	0
201599	17382	260	2
56298	8712	327	0
4314	1078	87	0
7628	1313	39	0
116584	10578	23	2
18151	2656	31	0
72353	9680	134	2
32601	3676	69	0
1809	390	52	0
67430	6999	58	0
227361	27283	303	2
35537	4427	82	0
331960	28446	350	2
23079	3275	28	0
20892	2695	240	0
30994	3699	40	0
